t,phi,phi',phi'',theta,theta',theta'',alpha,alpha',alpha'',psi,psi',psi'',X,Y,Z
0.05125,7.30523162500093e-17,1.31849273324716e-15,-4.51025431063143e-15,1.57765510264448,0.150248641231303,0.130969109455237,1.5707963267949,-3.49268110274534e-14,1.83310678402847e-12,3.13196383455877e-15,1.32435540178245e-13,-7.77579755112205e-12,-3.18180078037248e-16,-0.000696852958193706,0
0.0525,7.4697036426743e-17,1.31317259881595e-15,-4.01671864694812e-15,1.57784301651309,0.150414146947472,0.133841619762221,1.5707963267949,-3.26393053899815e-14,1.82316627295467e-12,3.29144200401153e-15,1.22727695792245e-13,-7.74527796524588e-12,-3.34381141796482e-16,-0.000715945045243059,0
0.05375,7.63354842874422e-17,1.30845093662979e-15,-3.52722950335518e-15,1.57803113950876,0.150583245280709,0.136717331167258,1.5707963267949,-3.03688953450667e-14,1.81252605595257e-12,3.43881541938615e-15,1.13072345265131e-13,-7.71260873416306e-12,-3.49352619627679e-16,-0.000735058379649548,0
0.055,7.79684271535854e-17,1.30435452505756e-15,-3.00851677196403e-15,1.57821947612484,0.15075594027539,0.139596312487222,1.5707963267949,-2.81079902501001e-14,1.80987959263025e-12,3.57413291618785e-15,1.03446173956837e-13,-7.70449243185775e-12,-3.63099700391602e-16,-0.00075419341793236,0
0.05625,7.95966456027713e-17,1.30092964469988e-15,-2.47263935353667e-15,1.57840803085979,0.150932236061927,0.142478632545395,1.5707963267949,-2.58441963634911e-14,1.81154019059629e-12,3.69742993931767e-15,9.38111141854862e-14,-7.70960507753495e-12,-3.75623675378177e-16,-0.00077335061712978,0
0.0575,8.12210089603875e-17,1.29817292667372e-15,-1.94620378202844e-15,1.57859680821714,0.151112136856754,0.145364360268374,1.5707963267949,-2.35791397736094e-14,1.81051257750632e-12,3.80867467927835e-15,8.41721612629999e-14,-7.70646017541216e-12,-3.86923735953363e-16,-0.000792530434810116,0
0.05875,8.28423533383622e-17,1.29606413524481e-15,-1.446780614608e-15,1.5787858127058,0.151295646962598,0.148253564740619,1.5707963267949,-2.13179149197253e-14,1.8030876799507e-12,3.90786165013246e-15,7.45449637469558e-14,-7.68366509293343e-12,-3.97000384447595e-16,-0.000811733329082645,0
0.06,8.4461441019123e-17,1.2945559751372e-15,-1.20652808608526e-15,1.5789750488402,0.151482770768605,0.149699044805795,1.5707963267949,-1.90714205737326e-14,1.79719547679412e-12,3.99503984043267e-15,6.49629985306663e-14,-7.66557217303159e-12,-4.05857242670662e-16,-0.000830959758608576,0
0.06,8.4461441019123e-17,1.2945559751372e-15,-1.07908309332613e-15,1.5789750488402,0.151482770768605,0.158502538190119,1.5707963267949,-1.90714205737326e-14,1.58667332094939e-12,3.99503984043267e-15,6.49629985306663e-14,-6.79492709272878e-12,-4.05857242670662e-16,-0.000830959758608576,0
0.06125,8.60787308513162e-17,1.29320712127054e-15,-8.40355336611055e-16,1.57916452575667,0.151680898941343,0.159951706871908,1.5707963267949,-1.70880789225459e-14,1.58667560758319e-12,4.07093505476903e-15,5.64693396647553e-14,-6.79493860785217e-12,-4.13566291092285e-16,-0.000850210651635158,0
0.0625,8.7694707500869e-17,1.29245508679567e-15,-3.6242835449972e-16,1.57935425259716,0.151882650035785,0.162851974411693,1.5707963267949,-1.51047315547746e-14,1.58668034217552e-12,4.13621317759941e-15,4.79756520110359e-14,-6.79496190003373e-12,-4.20196636092254e-16,-0.000869486936995205,0
0.06375,8.9310117728041e-17,1.29230105038429e-15,1.16453728905679e-16,1.5795442338933,0.152088028877372,0.165756137054251,1.5707963267949,-1.31213780671071e-14,1.58668540032886e-12,4.19087417252965e-15,3.9481934914671e-14,-6.79498571767043e-12,-4.2574827707964e-16,-0.000888789075106191,0
0.065,9.09257097918057e-17,1.29274622111794e-15,5.96315255003234e-16,1.5797344741829,0.15229704037842,0.168664264313312,1.5707963267949,-1.11380180539525e-14,1.58669078388419e-12,4.23491800234416e-15,3.09881877168598e-14,-6.79501006395657e-12,-4.30221213486028e-16,-0.000908117527003934,0
0.06625,9.25422334722742e-17,1.2937918385218e-15,1.07718060076606e-15,1.57992497800996,0.152509689538155,0.171576425708197,1.5707963267949,-9.15465110739658e-15,1.58669649473278e-12,4.26834462900263e-15,2.24944097547796e-14,-6.79503494215316e-12,-4.3361544476568e-16,-0.000927472754353636,0
0.0675,9.41604401072667e-17,1.29543917261985e-15,1.55907420006032e-15,1.58011574992462,0.152725981442691,0.1744926908835,1.5707963267949,-7.17127681712052e-15,1.58670253483493e-12,4.29115401363452e-15,1.40006003614768e-14,-6.7950603556046e-12,-4.359309703957e-16,-0.00094685521946092,0
0.06875,9.57810826548652e-17,1.29768952402195e-15,2.04202053941075e-15,1.58030679448351,0.152945921265364,0.177413129676241,1.5707963267949,-5.18789477030928e-15,1.58670890620686e-12,4.30334611653118e-15,5.50675886576814e-15,-6.7950863077168e-12,-4.37167789876206e-16,-0.000966265385282881,0
0.07,9.7404915724497e-17,1.30054422396838e-15,2.28375995714133e-15,1.58049811624988,0.153169514266881,0.178874401214068,1.5707963267949,-3.20450455160338e-15,1.58671217496472e-12,4.30492089714185e-15,-2.98711540781508e-15,-6.79509941886657e-12,-4.37325902730507e-16,-0.000985703715439179,0
0.07,9.7404915724497e-17,1.30054422396838e-15,-1.95860252915684e-15,1.58049811624988,0.153169514266881,0.18777217288457,1.5707963267949,-3.20450455160338e-15,5.16204636780749e-13,4.30492089714185e-15,-2.98711540781508e-15,-2.51950441407749e-12,-4.37325902730507e-16,-0.000985703715439179,0
0.07125,9.9029038246888e-17,1.29809597080693e-15,-1.85249865184807e-15,1.58068972445838,0.153404229482987,0.189237832795974,1.5707963267949,-2.55924875562744e-15,5.16205376576588e-13,4.29921864140034e-15,-6.13649592541195e-15,-2.5195096095415e-12,-4.36744669363194e-16,-0.0010051711481673,0
0.0725,1.00650266178739e-16,1.29591297733876e-15,-1.64006237490345e-15,1.58088162835037,0.153642608848871,0.192171433335253,1.5707963267949,-1.91399111016191e-15,5.1620692641114e-13,4.28957965191633e-15,-9.28588943166883e-15,-2.51952008562373e-12,-4.35763450317315e-16,-0.00102466862240137,0
0.07375,1.02268931450815e-16,1.29399581486968e-15,-1.42716441228401e-15,1.58107383250959,0.153884658066325,0.195109630473433,1.5707963267949,-1.26873143959959e-15,5.162086171531e-13,4.27600391232086e-15,-1.24352961394713e-14,-2.5195307326814e-12,-4.34382245410922e-16,-0.00104419660385048,0
0.075,1.03885366719033e-16,1.29234506630805e-15,-1.21379547648025e-15,1.581266341527,0.154130382925055,0.198052494556999,1.5707963267949,-6.23469567279159e-16,5.162104496532e-13,4.25849140597771e-15,-1.55847162633723e-14,-2.51954155205658e-12,-4.32601054474496e-16,-0.00106375555895344,0
0.07625,1.05499905372135e-16,1.29096132617847e-15,-9.9994626626752e-16,1.58145916000088,0.154379789302717,0.201000095937342,1.5707963267949,2.1794684533409e-17,5.16212424782977e-13,4.23704211598198e-15,-1.87341500196127e-14,-2.51955254511507e-12,-4.30419877351045e-16,-0.0010833459548899,0
0.0775,1.07112881542937e-16,1.28984520064238e-15,-7.85607455558106e-16,1.58165229253676,0.154632883164898,0.203952505113293,1.5707963267949,6.67061494678284e-16,5.16214543442742e-13,4.21165602515766e-15,-2.188359762616e-14,-2.51956371325027e-12,-4.27838713896191e-16,-0.00110296825959159,0
0.07875,1.08724630134899e-16,1.28899730753958e-15,-5.7076969339141e-16,1.58184574374775,0.154889670565501,0.206909792811017,1.5707963267949,1.31233104314026e-15,5.16216806556297e-13,4.18233311605443e-15,-2.50330593027383e-14,-2.51957505787436e-12,-4.24857563978272e-16,-0.00112262294175347,0
0.08,1.10335486834906e-16,1.2884182764089e-15,-4.63224904541581e-16,1.58203951825465,0.155150157646925,0.208389665139874,1.5707963267949,1.95760351106902e-15,5.16217974343009e-13,4.14907337094611e-15,-2.81825352708459e-14,-2.519580774486e-12,-4.21476427478437e-16,-0.00114231047084496,0
0.08,1.10335486834906e-16,1.2884182764089e-15,-4.94755446556e-15,1.58203951825465,0.155150157646925,0.217398821324877,1.5707963267949,1.95760351106902e-15,-3.90894359853856e-13,4.14907337094611e-15,-2.81825352708459e-14,1.10269499732801e-12,-4.21476427478437e-16,-0.00114231047084496,0
0.08125,1.11942146816742e-16,1.28223383332695e-15,-4.95685935295372e-15,1.58223362540821,0.155421906173581,0.218883790279489,1.5707963267949,1.4689855612517e-15,-3.90895900650527e-13,4.11470668169011e-15,-2.68041665241859e-14,1.1026974725413e-12,-4.17982804528927e-16,-0.00116203179689756,0
